Date & Time,D: Sulphur Hexaflouride [ppm],Air Exchange [1/h],Dosage Given [Nl],7651 Flag,Monitor Flag,1403 Flag,Comment
2021-01-27 20:41:32,59.644,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:42:02,59.453,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:42:32,59.201,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:43:02,58.925,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:43:31,58.733,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:44:01,58.313,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:44:31,58.094,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:45:01,57.655,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:45:31,57.613,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:46:00,57.227,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:46:30,57.035,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:47:00,56.486,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:47:30,56.078,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:48:00,55.897,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:48:30,55.424,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:49:00,55.104,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:49:30,54.792,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:50:00,54.462,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:50:29,53.975,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:50:59,53.672,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:52:02,53.276,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:52:32,52.501,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:53:02,52.117,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:53:32,51.744,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:54:01,51.155,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:54:31,50.929,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:55:01,50.681,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:55:30,50.448,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:56:00,50.095,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:56:30,49.935,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:57:00,49.728,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:57:30,49.445,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:58:00,49.098,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:58:29,48.596,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:58:59,48.479,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:59:29,48.168,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:59:58,47.816,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:00:28,47.568,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:00:58,47.056,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:01:28,46.812,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:01:58,46.518,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:02:28,46.348,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:02:58,46.025,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:03:28,45.858,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:03:57,45.629,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:04:27,45.211,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:04:57,44.795,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:05:27,44.261,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:05:57,43.875,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:06:27,43.606,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:06:57,43.108,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:07:27,43.106,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:07:57,42.545,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:08:27,42.292,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:08:57,41.75,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:09:26,41.592,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:09:56,41.334,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:10:26,41.006,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:10:55,40.732,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:11:25,40.456,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:11:55,40.176,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:12:25,39.866,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:12:54,39.301,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:13:24,39.127,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:13:54,38.643,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:14:24,38.575,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:14:54,38.144,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:15:24,38.141,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:15:54,37.78,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:16:24,37.622,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:16:54,37.436,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:17:23,37.086,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:17:53,36.849,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:18:23,36.522,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:18:53,36.254,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:19:23,36.016,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:19:52,35.7,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:20:22,35.273,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:20:52,34.832,100000000000000000000000000000000,0,0,,,,
